📅 [2020.05.12] | SMA: -0.04 | BB: -0.57 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.61
📅 [2020.05.13] | SMA: -0.02 | BB: -0.90 | RSI:  0.00 | VOL:  0.66 | TOTAL: -0.27
👑 [골든크로스] slope: 0.00802 | score: 0.60
📅 [2020.05.14] | SMA:  0.60 | BB:  0.18 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.79
📅 [2020.05.15] | SMA:  0.01 | BB:  0.32 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.33
☠️ [데드크로스] slope: -0.00352 | score: -0.55
📅 [2020.05.18] | SMA: -0.55 | BB:  0.66 | RSI:  0.00 | VOL: -0.89 | TOTAL: -0.78
📅 [2020.05.19] | SMA: -0.04 | BB: -0.41 | RSI:  0.00 | VOL: -0.80 | TOTAL: -1.25
👑 [골든크로스] slope: 0.00110 | score: 0.51
📅 [2020.05.20] | SMA:  0.51 | BB:  0.28 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.20
📅 [2020.05.21] | SMA:  0.01 | BB: -0.64 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.63
☠️ [데드크로스] slope: 0.00126 | score: -0.50
📅 [2020.05.22] | SMA: -0.50 | BB: -0.08 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.58
📅 [2020.05.26] | SMA: -0.05 | BB:  0.18 | RSI:  0.00 | VOL:  0.68 | TOTAL:  0.82
👑 [골든크로스] slope: -0.00189 | score: 0.50
📅 [2020.05.27] | SMA:  0.50 | BB:  0.77 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.27
📅 [2020.05.28] | SMA:  0.15 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.05
📅 [2020.05.29] | SMA:  0.32 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.22
📅 [2020.06.01] | SMA:  0.33 | BB:  0.45 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.22
📅 [2020.06.02] | SMA:  0.35 | BB:  0.69 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.03
📅 [2020.06.03] | SMA:  0.34 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.24
📅 [2020.06.04] | SMA:  0.21 | BB: -0.14 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.93
📅 [2020.06.05] | SMA:  0.20 | BB:  0.90 | RSI:  0.00 | VOL:  0.93 | TOTAL:  2.03
📅 [2020.06.08] | SMA:  0.40 | BB:  0.90 | RSI:  0.00 | VOL:  0.16 | TOTAL:  1.46
📅 [2020.06.09] | SMA:  0.49 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.39
📅 [2020.06.10] | SMA:  0.50 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.40
📅 [2020.06.11] | SMA:  0.33 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.43
