📅 [2022.07.08] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.07.11] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.07.12] | SMA:  0.00 | BB:  0.47 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.53
📅 [2022.07.13] | SMA:  0.00 | BB:  0.22 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.78
📅 [2022.07.14] | SMA:  0.00 | BB: -0.07 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.07
📅 [2022.07.15] | SMA:  0.00 | BB:  0.60 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.40
📅 [2022.07.18] | SMA:  0.00 | BB:  0.26 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.74
📅 [2022.07.19] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -0.87 | TOTAL:  0.03
📅 [2022.07.20] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.07.21] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -0.74 | TOTAL: -0.84
👑 [골든크로스] SLOPE: 0.01858 | Scaled: 7.43 | SMA Score: 1.60
📅 [2022.07.22] | SMA:  1.60 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL:  2.10
📅 [2022.07.25] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.07.26] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  0.94 | TOTAL:  1.84
📅 [2022.07.27] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  0.07 | TOTAL:  0.97
📅 [2022.07.28] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2022.07.29] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -0.61 | TOTAL: -0.71
📅 [2022.08.01] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2022.08.02] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  0.58 | TOTAL:  0.48
📅 [2022.08.03] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  0.12 | TOTAL:  0.02
📅 [2022.08.04] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2022.08.05] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2022.08.08] | SMA:  0.00 | BB:  0.65 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.35
📅 [2022.08.09] | SMA:  0.00 | BB:  0.67 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.33
📅 [2022.08.10] | SMA:  0.00 | BB:  0.84 | RSI:  0.00 | VOL: -0.69 | TOTAL:  0.15
📅 [2022.08.11] | SMA:  0.00 | BB:  0.66 | RSI:  0.00 | VOL: -0.22 | TOTAL:  0.43
📅 [2022.08.12] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2022.08.15] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2022.08.16] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  0.92 | TOTAL:  1.82
📅 [2022.08.17] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -0.81 | TOTAL:  0.09
📅 [2022.08.18] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.08.19] | SMA:  0.00 | BB:  0.75 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.25
📅 [2022.08.22] | SMA:  0.00 | BB: -0.68 | RSI:  0.00 | VOL:  0.66 | TOTAL: -0.02
📅 [2022.08.23] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2022.08.24] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2022.08.25] | SMA:  0.00 | BB: -0.59 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.59
📅 [2022.08.26] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -0.11 | TOTAL: -1.01
📅 [2022.08.29] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2022.08.30] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  0.52 | TOTAL: -0.38
📅 [2022.08.31] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.10
📅 [2022.09.01] | SMA:  0.00 | BB: -0.81 | RSI:  1.00 | VOL:  1.00 | TOTAL:  1.19
📅 [2022.09.02] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL:  1.10
📅 [2022.09.06] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL:  1.10
📅 [2022.09.07] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL:  0.17 | TOTAL:  0.27
📅 [2022.09.08] | SMA:  0.00 | BB: -0.76 | RSI:  1.00 | VOL:  1.00 | TOTAL:  1.24
📅 [2022.09.09] | SMA:  0.00 | BB: -0.19 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.81
📅 [2022.09.12] | SMA:  0.00 | BB:  0.38 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.38
📅 [2022.09.13] | SMA:  0.00 | BB: -0.02 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.98
📅 [2022.09.14] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.10
📅 [2022.09.15] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL:  1.10
📅 [2022.09.16] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.10
📅 [2022.09.19] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
