📅 [2020.08.12] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL: -0.73 | TOTAL: -0.63
📅 [2020.08.13] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL: -1.00 | TOTAL: -0.90
📅 [2020.08.14] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2020.08.17] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  0.33 | TOTAL: -0.57
📅 [2020.08.18] | SMA:  0.00 | BB:  0.02 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.02
📅 [2020.08.19] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.08.20] | SMA:  0.00 | BB:  0.15 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.15
📅 [2020.08.21] | SMA:  0.00 | BB:  0.09 | RSI:  0.00 | VOL: -0.23 | TOTAL: -0.14
📅 [2020.08.24] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.08.25] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.08.26] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.08.27] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.08.28] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.08.31] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.09.01] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -0.43 | TOTAL: -0.53
📅 [2020.09.02] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  1.00 | TOTAL:  0.90
